room,start time,end time,mean,std,min,median,max,sun,diff,preMean,preStd,preMin,preMedian,preMax,preSun,preDiff
1,2016/01/05 11:14:41,2016/01/05 11:15:35,71.12775,15.5949752443,55.26,68.3325,163.755,3,108.495,85.0895,45.478043395,35.46,60.075,202.32,3,166.86
1,2016/01/05 11:15:35,2016/01/05 11:16:30,74.86975,17.1594583368,49.77,69.93,166.275,3,116.505,71.12775,15.5949752443,55.26,68.3325,163.755,3,108.495
1,2016/01/05 11:16:30,2016/01/05 11:17:24,50.20725,12.2067383543,21.465,49.23,95.76,3,74.295,74.86975,17.1594583368,49.77,69.93,166.275,3,116.505
1,2016/01/05 11:17:24,2016/01/05 11:18:19,81.5535,14.5574366844,44.55,81.765,160.92,3,116.37,50.20725,12.2067383543,21.465,49.23,95.76,3,74.295
1,2016/01/05 11:18:19,2016/01/05 11:19:13,97.3915,29.7653605803,64.845,85.8375,184.32,3,119.475,81.5535,14.5574366844,44.55,81.765,160.92,3,116.37
1,2016/01/05 11:19:14,2016/01/05 11:20:09,223.242,102.003118804,48.915,285.0075,359.595,3,310.68,97.3915,29.7653605803,64.845,85.8375,184.32,3,119.475
1,2016/01/05 11:20:09,2016/01/05 11:21:03,281.84125,20.8614717371,172.53,283.995,316.125,3,143.595,223.242,102.003118804,48.915,285.0075,359.595,3,310.68
1,2016/01/05 11:21:03,2016/01/05 11:21:57,243.78075,39.067824509,124.065,253.53,285.885,3,161.82,281.84125,20.8614717371,172.53,283.995,316.125,3,143.595
1,2016/01/05 11:21:58,2016/01/05 11:22:52,264.30475,21.6758745049,137.25,265.7475,296.28,3,159.03,243.78075,39.067824509,124.065,253.53,285.885,3,161.82
1,2016/01/05 11:22:53,2016/01/05 11:23:47,236.069,109.979663736,12.465,257.175,454.455,3,441.99,264.30475,21.6758745049,137.25,265.7475,296.28,3,159.03
1,2016/01/05 11:23:48,2016/01/05 11:24:42,224.55875,106.341307666,50.355,271.4175,333.63,3,283.275,236.069,109.979663736,12.465,257.175,454.455,3,441.99
1,2016/01/05 11:24:43,2016/01/05 11:25:37,76.75025,39.9778726726,41.445,62.0775,189.09,3,147.645,224.55875,106.341307666,50.355,271.4175,333.63,3,283.275
1,2016/01/05 11:25:37,2016/01/05 11:26:31,153.56375,25.0860529307,117.855,147.0375,199.125,3,81.27,76.75025,39.9778726726,41.445,62.0775,189.09,3,147.645
